"author/deck_playtime_at_review","author/last_played","author/num_games_owned","author/num_reviews","author/playtime_at_review","author/playtime_forever","author/playtime_last_two_weeks","author/steamid","comment_count","hidden_in_steam_china","language","primarily_steam_deck","received_for_free","recommendationid","review","steam_china_location","steam_purchase","timestamp_created","timestamp_updated","voted_up","votes_funny","votes_up","weighted_vote_score","written_during_early_access"
,"1727587675","0","1","295","295","295","76561199617071159","0","true","schinese","false","false","175999797","游玩时间最长的游戏
","","true","1727587999","1727587999","true","0","0","0","false"
,"1727560055","79","4","3727","3727","2708","76561198367988411","0","true","schinese","false","false","175999795","好玩  PC第一个全成就游戏  期待DLC","","true","1727587997","1727587997","true","0","0","0","false"
,"1727591593","0","1","3421","3481","1244","76561199042840047","0","true","schinese","false","false","175999765","国产顶级3A，除了粪怪和顶级折磨快慢刀有点宫崎英高之外确实欧克，你dlc最好把我四妹复活","","true","1727587966","1727587966","true","0","0","0","false"
,"1727591547","48","3","2277","2337","279","76561199092262005","0","true","schinese","false","false","175999760","真的很好玩","","true","1727587958","1727587958","true","0","0","0","false"
,"1727591600","0","1","784","845","804","76561198006500118","0","true","schinese","false","false","175999753","非常号！值得一玩","","true","1727587939","1727587939","true","0","0","0","false"
,"1727591270","33","3","577","633","633","76561199187049147","0","true","english","false","false","175999735","game","","true","1727587906","1727587906","true","0","0","0","false"
,"1727590588","6","1","4441","4487","865","76561199763531826","0","true","schinese","false","false","175999716","除了空气墙其他大差不差 就是后面几张明显赶工了 要是2025发售可能更好一点","","true","1727587873","1727587873","true","0","0","0","false"
,"1724300515","23","5","139","139","0","76561198127669909","0","true","schinese","false","false","175999712","游戏画质动作确实可以，就是手残玩不来，支持下","","true","1727587866","1727587866","true","0","0","0","false"
,"1727583560","760","127","3933","3933","117","76561198043089566","0","true","russian","false","false","175999711","Помните, в начале девяностых нам, советским детям показывали мультик про Царя Обезьян?
Странно, но мало кто из моих ровесников помнит этот чудесный мультфильм… Но я получал неимоверное удовольствие от его просмотра, и был крайне воодушевлен анонсом игры «Black Myth Wukong». Воодушевлен, заинтригован, но и сомнений было предостаточно – неизвестная студия, китайская… что выйдет? Трейлеры были великолепны, но сейчас им доверять себе дороже…
Ну что сказать – сомнения оказались беспочвенны, а воодушевление оправдалось полностью. Продукт вышел качественный, вышколенный и по праву займет (должен занять!) звание «Игра года»
Сюжет в игре будет малопонятен без обращения к первоисточнику – книге «Путешествие на запад», но в данном конкретном случае это играет малую роль в получении удовольствия от игры. И без понимания «а что, собственно, тут происходит?» бегать по красотам Китая и стучать палкой по кочерыжкам яогуаев (почти яогаев из Fallout, но нет) –великолепное времяпрепровождение. 
Отдельно хотелось бы выделить сложность… В игре полно боссов разной степени раздражаемости, но, даже косорукому мне, который геймпад-то держать в руках нормально не научился, удалось пройти эту игру до конца, включая победу над [spoiler] главным казахом [/spoiler]. Да, в некоторых боях, включая вышеозвученный, я провел ни один час, но все же… Кайф от финального тычка посохом во врага неописуемый!
Крайне надеюсь на продолжения, дополнения, киноадаптации, мерч и тому подобное по мотивам данной игры. Уточку-Укуна я бы прикупил)","","true","1727587866","1727588008","true","0","2","0.519086956977844238","false"
,"1727536175","0","1","8248","8248","1608","76561198981495224","0","true","schinese","false","false","175999672","豪玩！！！","","true","1727587807","1727587807","true","0","0","0","false"
"104","1727584633","0","6","3630","3630","1583","76561198152167467","0","true","schinese","false","false","175999610","先给个好评表明一下态度先，这游戏拿几个最佳问题不大，感觉10分可以给个8分，游戏画面和剧情表现很优秀，难度在类魂游戏里也合适，不会出现频繁被小怪搞死的情况，可以说整体上玩得很舒服了，主要扣分点在一是在于地图设计上，有些地方，第二第三章，感觉大得不是很有意义，且辨识度做得不好，探索这些地方挺折磨的，二就是在一的基础上的隐藏要素，设计了太多错过就必须二周目的要素，几乎每章都有，这个设计的问题在于，即使你有意愿想完整收集，但是官方的设计就是故意让你错过，引导你打二周目，比如第一章的幽魂，第三章的珍玩，第四章的靡道人，第五章的碧水金睛兽，感觉真的没有必要，可以设复杂一点，但是错过就得重开让人很不舒服。","","true","1727587719","1727587719","true","0","0","0","false"
,"1727573453","0","2","6184","6184","5916","76561198153721850","0","true","vietnamese","false","false","175999595","Thich","","true","1727587700","1727587700","true","0","0","0","false"
,"1726514937","49","10","4626","4626","1","76561199403456467","0","true","schinese","false","false","175999582","助力百万好评如潮","","true","1727587676","1727587676","true","0","0","0","false"
,"1727591738","316","15","2798","2889","1588","76561197983170256","0","true","tchinese","false","false","175999578","大石敢當就是個姬芭破怪","","true","1727587666","1727587666","true","0","0","0","false"
,"1727589125","0","2","4917","4944","1532","76561198354614932","0","true","schinese","false","false","175999568","9分之作，扣1分给花果山的设计和探索与空气墙的矛盾
最佳艺术指导：吴承恩+游科
最佳剧情指导：吴承恩+游科
最佳文化指导：吴承恩+游科","","true","1727587647","1727587647","true","0","0","0","false"
